,Date,Price,Open,High,Low,Vol.,Change%
327,2017-11-24,7409.64,7417.24,7425.19,7389.54,561890000,-0.1
328,2017-11-23,7417.24,7419.02,7422.73,7373.31,577460000,-0.02
329,2017-11-22,7419.02,7411.34,7460.91,7410.38,859390000,0.1
330,2017-11-21,7411.34,7389.46,7422.18,7367.86,753290000,0.3
331,2017-11-20,7389.46,7380.68,7397.39,7350.37,738280000,0.12
332,2017-11-17,7380.68,7386.94,7406.53,7356.16,731960000,-0.08
333,2017-11-16,7386.94,7372.61,7393.28,7368.14,926680000,0.19
334,2017-11-15,7372.61,7414.42,7415.09,7357.06,919470000,-0.56
335,2017-11-14,7414.42,7415.18,7436.57,7396.92,1180000000,-0.01
336,2017-11-13,7415.18,7432.99,7469.3,7402.95,759790000,-0.24
337,2017-11-10,7432.99,7484.1,7500.29,7421.73,694700000,-0.68
338,2017-11-09,7484.1,7529.72,7532.2,7476.89,860710000,-0.61
339,2017-11-08,7529.72,7513.11,7534.49,7504.77,807970000,0.22
340,2017-11-07,7513.11,7562.28,7582.85,7507.83,747480000,-0.65
341,2017-11-06,7562.28,7560.35,7572.9,7544.2,632910000,0.03
342,2017-11-03,7560.35,7555.32,7580.95,7541.91,672310000,0.07
343,2017-11-02,7555.32,7487.96,7562.26,7478.88,1030000000,0.9
344,2017-11-01,7487.96,7493.08,7532.36,7487.96,1210000000,-0.07
345,2017-10-31,7493.08,7487.81,7516.85,7483.97,730560000,0.07
346,2017-10-30,7487.81,7505.03,7507.02,7478.41,749410000,-0.23
347,2017-10-27,7505.03,7486.5,7520.76,7485.24,870030000,0.25
348,2017-10-26,7486.5,7447.21,7488.26,7440.11,1020000000,0.53
349,2017-10-25,7447.21,7526.54,7528.46,7437.42,922390000,-1.05
350,2017-10-24,7526.54,7524.45,7535.22,7508.5,676610000,0.03
351,2017-10-23,7524.45,7523.23,7542.0,7511.77,565830000,0.02
352,2017-10-20,7523.23,7523.04,7560.04,7517.07,752950000,0.0
353,2017-10-19,7523.04,7542.87,7542.87,7485.42,828890000,-0.26
354,2017-10-18,7542.87,7516.17,7555.24,7516.17,645750000,0.36
355,2017-10-17,7516.17,7526.97,7550.44,7506.31,1030000000,-0.14
356,2017-10-16,7526.97,7535.44,7557.0,7526.73,738060000,-0.11
357,2017-10-13,7535.44,7556.24,7556.24,7521.09,686920000,-0.28
358,2017-10-12,7556.24,7533.81,7565.11,7526.33,722800000,0.3
359,2017-10-11,7533.81,7538.27,7550.17,7519.6,1250000000,-0.06
360,2017-10-10,7538.27,7507.89,7543.88,7504.56,821710000,0.4
361,2017-10-09,7507.89,7522.87,7523.65,7493.68,695850000,-0.2
362,2017-10-06,7522.87,7507.99,7527.72,7507.99,694720000,0.2
363,2017-10-05,7507.99,7467.58,7507.99,7464.4,775860000,0.54
364,2017-10-04,7467.58,7468.11,7476.33,7456.61,945110000,-0.01
365,2017-10-03,7468.11,7438.84,7469.82,7426.67,718750000,0.39
366,2017-10-02,7438.84,7372.76,7438.84,7372.73,891030000,0.9
367,2017-09-29,7372.76,7322.82,7382.67,7321.64,750780000,0.68
368,2017-09-28,7322.82,7313.51,7323.33,7289.75,748360000,0.13
